threshold,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,false_alarm_rate,precision,negative_predictive_value,alert_rate,balanced_accuracy,youden_j
0.32144397497177124,115,534,0,119,1.0,0.18223583460949463,0.8177641653905053,0.17719568567026195,1.0,0.8450520833333334,0.5911179173047473,0.18223583460949455
0.3221418261528015,115,533,0,120,1.0,0.18376722817764166,0.8162327718223583,0.17746913580246915,1.0,0.84375,0.5918836140888208,0.18376722817764168
0.32267552614212036,115,532,0,121,1.0,0.18529862174578868,0.8147013782542113,0.1777434312210201,1.0,0.8424479166666666,0.5926493108728943,0.1852986217457886
0.32303357124328613,115,531,0,122,1.0,0.18683001531393567,0.8131699846860643,0.1780185758513932,1.0,0.8411458333333334,0.5934150076569679,0.18683001531393573
0.3243790864944458,115,530,0,123,1.0,0.1883614088820827,0.8116385911179173,0.17829457364341086,1.0,0.83984375,0.5941807044410413,0.18836140888208264
0.32439902424812317,115,529,0,124,1.0,0.18989280245022971,0.8101071975497703,0.17857142857142858,1.0,0.8385416666666666,0.5949464012251149,0.18989280245022977
0.3248952329158783,115,528,0,125,1.0,0.19142419601837674,0.8085758039816233,0.17884914463452567,1.0,0.8372395833333334,0.5957120980091883,0.19142419601837668
0.32523244619369507,115,527,0,126,1.0,0.19295558958652373,0.8070444104134763,0.1791277258566978,1.0,0.8359375,0.5964777947932619,0.1929555895865238
0.3258228003978729,115,526,0,127,1.0,0.19448698315467075,0.8055130168453293,0.1794071762870515,1.0,0.8346354166666666,0.5972434915773354,0.19448698315467072
0.326179176568985,115,525,0,128,1.0,0.19601837672281777,0.8039816232771823,0.1796875,1.0,0.8333333333333334,0.5980091883614089,0.19601837672281786
0.3263006806373596,115,524,0,129,1.0,0.19754977029096477,0.8024502297090352,0.17996870109546165,1.0,0.83203125,0.5987748851454824,0.19754977029096477
0.3279882073402405,115,523,0,130,1.0,0.1990811638591118,0.8009188361408882,0.18025078369905956,1.0,0.8307291666666666,0.5995405819295558,0.19908116385911168
0.3283724784851074,115,522,0,131,1.0,0.2006125574272588,0.7993874425727412,0.18053375196232338,1.0,0.8294270833333334,0.6003062787136294,0.2006125574272588
0.3286992907524109,115,521,0,132,1.0,0.20214395099540583,0.7978560490045942,0.18081761006289307,1.0,0.828125,0.601071975497703,0.20214395099540594
0.3290460705757141,115,520,0,133,1.0,0.20367534456355282,0.7963246554364471,0.18110236220472442,1.0,0.8268229166666666,0.6018376722817764,0.20367534456355285
0.32975733280181885,115,519,0,134,1.0,0.20520673813169985,0.7947932618683001,0.18138801261829654,1.0,0.8255208333333334,0.6026033690658499,0.20520673813169976
0.3298077881336212,115,518,0,135,1.0,0.20673813169984687,0.7932618683001531,0.18167456556082148,1.0,0.82421875,0.6033690658499234,0.2067381316998469
0.32994064688682556,115,517,0,136,1.0,0.2082695252679939,0.7917304747320061,0.1819620253164557,1.0,0.8229166666666666,0.6041347626339969,0.2082695252679938
0.3308688700199127,115,516,0,137,1.0,0.20980091883614088,0.7901990811638591,0.18225039619651348,1.0,0.8216145833333334,0.6049004594180705,0.20980091883614094
0.33115649223327637,115,515,0,138,1.0,0.2113323124042879,0.7886676875957122,0.18253968253968253,1.0,0.8203125,0.6056661562021439,0.21133231240428785
0.3315339982509613,115,514,0,139,1.0,0.21286370597243492,0.7871362940275651,0.18282988871224165,1.0,0.8190104166666666,0.6064318529862175,0.21286370597243498
0.33156856894493103,115,513,0,140,1.0,0.21439509954058192,0.7856049004594181,0.18312101910828024,1.0,0.8177083333333334,0.607197549770291,0.2143950995405819
0.3321695923805237,115,512,0,141,1.0,0.21592649310872894,0.7840735068912711,0.18341307814992025,1.0,0.81640625,0.6079632465543645,0.21592649310872902
0.33268454670906067,115,511,0,142,1.0,0.21745788667687596,0.7825421133231241,0.18370607028753994,1.0,0.8151041666666666,0.608728943338438,0.21745788667687593
0.33286839723587036,115,510,0,143,1.0,0.21898928024502298,0.781010719754977,0.184,1.0,0.8138020833333334,0.6094946401225115,0.21898928024502307
0.3334684371948242,115,509,0,144,1.0,0.22052067381316998,0.77947932618683,0.1842948717948718,1.0,0.8125,0.610260336906585,0.22052067381316998
0.33458366990089417,115,508,0,145,1.0,0.222052067381317,0.777947932618683,0.18459069020866772,1.0,0.8111979166666666,0.6110260336906586,0.2220520673813171
0.3357190489768982,115,507,0,146,1.0,0.22358346094946402,0.776416539050536,0.18488745980707397,1.0,0.8098958333333334,0.611791730474732,0.22358346094946402
0.3359861969947815,115,506,0,147,1.0,0.225114854517611,0.774885145482389,0.18518518518518517,1.0,0.80859375,0.6125574272588055,0.22511485451761093
0.3364599347114563,115,505,0,148,1.0,0.22664624808575803,0.7733537519142419,0.18548387096774194,1.0,0.8072916666666666,0.613323124042879,0.22664624808575806
0.3366190493106842,115,504,0,149,1.0,0.22817764165390506,0.7718223583460949,0.18578352180936994,1.0,0.8059895833333334,0.6140888208269525,0.22817764165390497
0.33724209666252136,115,503,0,150,1.0,0.22970903522205208,0.7702909647779479,0.18608414239482202,1.0,0.8046875,0.614854517611026,0.2297090352220521
0.3399732708930969,115,502,0,151,1.0,0.23124042879019907,0.7687595712098009,0.18638573743922204,1.0,0.8033854166666666,0.6156202143950995,0.23124042879019902
